feature,importance
customer_talktime,0.06380123
agent_positive_sentence,0.053317614
customer_positivity_ratio,0.051057704
agent_neutral_sentence,0.049521063
total_talktime,0.048815772
avg_sentiment,0.04544386
agent_talktime,0.04441773
customer_loudness_mean,0.042036343
agent_loudness_mean,0.04189663
total_sentences,0.039967783
agent_sentiment_score,0.039849676
agent_sentence_ratio,0.03938198
customer_sentiment_score,0.039282784
call_count,0.03761413
customer_total_sentence,0.036715534
agent_total_sentence,0.034818333
agent_customer_talktime_ratio,0.03421901
silence_ratio,0.034035888
agent_negative_sentence,0.033227947
agent_positivity_ratio,0.03054349
customer_neutral_sentence,0.029598529
customer_positive_sentence,0.029315371
customer_negative_sentence,0.028234884
電話日-成約日,0.02716866
sentiment_difference,0.02374198
total_conversation_duration,0.021976018
